adonax,cdactylon,ebiflora,ecapensis,ecurvula,egummiflua,eplana,erigidior,esuperba,etrichophora,eupaspal,pmax,snatalensis,spyramidalis
GFS_2019_00019,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GFS_2019_00035,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GFS_2019_00039,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GFS_2019_00041,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GFS_2019_00069,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GFS_2019_00079,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GFS_2020_00015,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GFS_2020_0003,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GFS_2020_00043,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GFS_2020_00053,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GFS_2020_00055,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GFS_2020_00087,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GFS_2020_00091,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GFS_2020_00102,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GFS_2020_00116,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GFS_2020_00130,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GFS_2020_00152,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GFS_2020_00155,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GFS_2020_00184,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GFS_2020_00233,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GFS_2020_00492,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GFS_2020_00554,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GFS_2020_00614,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GFS_2020_00680,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GFS_2021_00329,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GFS_2021_00354,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GFS_2021_00730,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GFS_2021_00745,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GFS_2021_00762,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GFS_2021_00773,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GFS_2021_00805,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GFS_2021_00810,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GFS_2021_00846,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GFS_2021_00883,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GFS_2021_00887,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GFS_2021_00901,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GFS_2021_00902,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GFS_2021_00918,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GFS_PHI_1007,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GFS_PHI_1027_1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GFS_PHI_1027_2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GFS_PHI_1028F,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GFS_PHI_1080F,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GFS_PHI_1101F,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GFS_PHI_1101M,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GFS_PHI_1132,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GFS_PHI_1132M,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GFS_PHI_1196F,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GFS_PHI_1196M,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GFS_PHI_1205F,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GFS_PHI_1232F,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GFS_PHI_1238M,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GFS_PHI_1416F,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GFS_PHI_1447,0,0,0,0,0,1,0,0,0,0,0,0,0,0
KCP_2020_00012,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KCP_2020_00019,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KCP_2020_00032,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KCP_2020_00036,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KCP_2020_00044,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KCP_2020_00045,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KCP_2020_00048,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KCP_2020_00052,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KCP_2020_00055,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KCP_2020_00061,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KCP_2020_00062,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KCP_2020_00092,0,0,0,0,0,1,0,0,0,0,0,0,0,0
KCP_2020_00177,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KCP_2020_00178,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KCP_2020_00194,0,0,0,1,0,0,0,0,0,0,0,0,0,0
KCP_2020_00199,0,0,0,0,0,0,1,0,0,0,0,0,0,0
KCP_2020_00201,0,0,0,0,0,0,1,0,0,0,0,0,0,0
KCP_2020_00207,0,0,0,0,0,0,1,0,0,0,0,0,0,0
KCP_2020_00217,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KCP_2020_00219,0,0,0,0,0,1,0,0,0,0,0,0,0,0
KCP_2020_00238,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KCP_2020_00239,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LMY_2021_00117,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LMY_2021_00197,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LMY_2021_00220,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LMY_2021_00308,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LMY_2022_00008,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LMY_2022_00090,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LMY_2022_00098,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LMY_2022_00108,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LMY_2022_00139,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LMY_2022_00152,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SPY_KZN_060,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SPY_KZN_064,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SPY_LMP_032,0,0,0,0,0,0,0,0,0,0,0,0,0,1
